mass_1 mass_2 tilt_1 tilt_2 phi_12 a_1 a_2 phi_jl theta_jn ra dec luminosity_distance geocent_time psi phase reference_frequency h1_snr l1_snr network_snr chirp_mass duration cos_tilt_2 cos_tilt_1 mass_ratio
59.978104536200846 59.978104536200846 1.018717244940953 0.95499966729404 0.6560267825926491 0.6 0.6 2.420483404369963 0.8076076964491674 5.046944342061377 -0.837971663991451 620.7329141742961 0.0 0.7983253718320621 0.1 20.0 37.030140180269925 34.059782255811484 50.312026883079675 52.21397268942346 4 0.5776090294550161 0.5244585662389474 1.0
61.545471879455434 61.545471879455434 0.9883067829311366 0.820221196941765 5.785746439079414 0.6000000000000001 0.6 4.681971409054485 2.167686343513165 5.723282938861764 -0.35755046715502664 656.5095364299235 0.0 0.5560292195439183 0.1 20.0 25.75999728261885 29.00659891182839 38.79381703870108 53.578445212985685 4 0.6820594633775234 0.5501046468198136 1.0
19.270908680945933 19.270908680945933 1.7275387944097431 1.327907704331333 0.18589480659424096 0.6000000000000001 0.6000000000000001 1.897908914117525 1.2458083850506372 4.1575724945063195 -1.2178888381136237 758.0458708567113 0.0 1.597075368966626 0.1 20.0 9.453955556479924 10.134389776894828 13.859405896860373 16.77630040742565 4 0.24050745950769264 -0.15610144215157967 1.0
42.76718753458461 42.76718753458461 1.7416955421647675 1.2807200365462823 5.883701922418887 0.6000000000000001 0.6000000000000001 0.9987788301794768 0.935883911860015 0.640187946549521 0.7327184960522617 619.7536402633402 0.0 0.6096070728038551 0.1 20.0 41.39915464590485 46.61444162231168 62.344175134133 37.230999198823596 4 0.2860253289361105 -0.17006853351884826 1.0
20.68552109548939 20.68552109548939 0.3208174106824013 0.357837945960702 5.7960074007418765 0.6000000000000001 0.6 0.17039304627090102 0.923689426180794 0.4131830981238955 -0.08694439104053116 484.981445560076 0.0 0.2716392103746248 0.1 20.0 23.592847104533142 33.03013711376445 40.59079196384271 18.007792041752147 4 0.9366562716000038 0.948977970923444 1.0
48.066141267492895 48.066141267492895 0.14902571517512053 0.31514012993009144 2.7401778145774003 0.6 0.6 0.4801750237181101 0.9239973240582284 1.3102194509621978 -0.8598824436922035 415.441882197016 0.0 0.8442894701573516 0.1 20.0 60.075155925007934 42.566281826790586 73.62684773893133 41.84400635588701 4 0.9507529550186332 0.9889162039317329 1.0
39.87328970729194 39.87328970729194 1.920607332889289 1.3516300927464877 0.6152417568829242 0.6 0.6000000000000001 0.7237238141666408 1.5138630264512916 3.984706803233765 -1.066351761911171 722.9925758275328 0.0 0.8646985367252545 0.1 20.0 13.922085728651176 9.822179603702338 17.038183095720598 34.71171481515254 4 0.21741587725677966 -0.34272026561475466 1.0
28.587576826795093 28.587576826795093 1.57889322336918 1.865151215397636 5.6539241601605035 0.6000000000000001 0.5999999999999999 0.2656063525734637 2.713991292614028 1.1233965996568291 -0.19598462220670154 369.8575248523398 0.0 2.0953122680389407 0.1 20.0 9.488189091361487 36.79900226864096 38.002530181566506 24.886931109837686 4 -0.290122545701108 -0.008096808102842412 1.0
66.58762064727186 66.58762064727186 0.646972279569 0.6090510116181376 1.0277389241278951 0.6 0.6 2.186605654820657 1.9993031811720747 3.4305391667766294 1.1290443381028392 774.9206069066691 0.0 0.5184569791568369 0.1 20.0 22.005672940868074 17.031480046412167 27.826623118010374 57.96789066303114 4 0.8201912932490153 0.7979124821112086 1.0
61.133767526316774 61.133767526316774 1.4023042756612722 0.6517163702516743 5.950895276112036 0.6 0.6 5.9004130083158985 3.037841777720095 1.4151668428172333 -0.17607661266681815 319.99488336857627 0.0 2.2212472477102736 0.1 20.0 46.18251519107611 55.0005621401796 71.81842761513046 53.220035756449356 4 0.7950439025135065 0.16769594584560646 1.0
